s_id,viet,eng,topic
1763,Ông rời trường cấp ba lúc mười bảy tuổi .,He left high school at seventeen.,Youth & Student Life
9821,Cha mẹ anh đang tiết kiệm cho giáo dục đại học của mình .,His parents are saving for his college education.,Youth & Student Life
232,Tôi sẽ không ngạc nhiên nếu tom bị đuổi khỏi trường .,I wouldn't be surprised if Tom got kicked out of school.,Youth & Student Life
7980,Trường học không cho phép sinh viên hút thuốc trong khuôn viên trường,The school does not allow students to smoke on campus,Youth & Student Life
5931,Tom muốn biết mary đi học trung học ở đâu,Tom wants to know where Mary went to high school,Youth & Student Life
7039,Tom hứa với mary rằng anh sẽ gặp cô ấy sau giờ học,Tom promised Mary that he'd meet her after school,Youth & Student Life
2714,Tom bỏ học cấp ba,Tom dropped out of high school.,Youth & Student Life
5765,Ngày học của tom được chia thành sáu tiết .,Tom's school day is divided into six periods.,Youth & Student Life
7917,Thật lạ khi anh ta vắng mặt ở trường .,It is strange for him to be absent from school,Youth & Student Life
10513,Chúng tôi là sinh viên năm hai .,We're sophomores.,Youth & Student Life
378,Tom được cho là ở trường,Tom is supposed to be at school.,Youth & Student Life
2047,Anh tốt nghiệp một số trường đại học rink-dink ở oklahoma .,He graduated from some rinky-dink college in Oklahoma.,Youth & Student Life
8765,Tại sao bạn nghĩ tom không ở trường hôm nay ?,Why do you think Tom wasn't at school today?,Youth & Student Life
5952,Cô ấy thường gội đầu trước khi đến trường,She used to wash her hair before going to school,Youth & Student Life
5781,Cô ấy đã giúp anh trai mình làm bài tập về nhà,She assisted her brother with his homework,Youth & Student Life
8381,Anh ấy chắc chắn sẽ vượt qua kỳ thi,He is sure to pass the examination,Youth & Student Life
10583,Em gái tôi còn quá nhỏ để đi học,My sister is too young to go to school.,Youth & Student Life
9784,Các sinh viên có một phòng tập thể dục tuyệt vời theo ý của họ .,The students have an excellent gym at their disposal.,Youth & Student Life
